train-AverageReturn,LossAfter,train-NumTrajs,Time-Sampling,Itr,LossBefore,Time-Optimization,ItrTime,train-AverageDiscountedReturn,n_timesteps,train-PolicyExecTime,Time,train-MinReturn,train-MaxReturn,Time-SampleProc,train-EnvExecTime,train-StdReturn
-51.68011910225191,-0.34824023,100,73.70365977287292,0,-0.011537451,6.999486923217773,80.73241710662842,-90.24263798862819,10000,68.81888699531555,80.73242282867432,-173.96319850476826,27.15055832223852,0.026790857315063477,4.378438711166382,40.12340334794818
-34.37315776672664,-0.21872905,100,60.669161319732666,1,0.0064320555,3.5798451900482178,64.27291417121887,-57.032655756647365,20000,55.97005009651184,145.1680760383606,-136.13676551842545,52.86976878236168,0.023162126541137695,4.19734787940979,37.736759447833904
-42.91019835579393,-0.22377221,100,61.57272672653198,2,0.012264575,2.600950002670288,64.19726300239563,-73.13675623836531,30000,56.90299844741821,209.39025211334229,-173.28292688482335,89.37903335911042,0.02138495445251465,4.176815032958984,46.64866228068322
-42.5240973931954,-0.25570005,100,60.19093704223633,3,0.012164177,2.1429367065429688,62.35425901412964,-68.36536824206358,40000,55.6886773109436,271.82632184028625,-178.75577059208914,64.48220133385338,0.019690990447998047,4.0219810009002686,45.1056744089535
-56.28055102798463,-0.13898818,100,63.46252679824829,4,0.009011572,1.9840309619903564,65.46808505058289,-96.33479722232919,50000,59.03151059150696,337.31509923934937,-227.29930264124715,65.42647334049605,0.01990509033203125,3.9558515548706055,54.209848907501
-74.39809458852807,-0.06841863,100,53.83432698249817,5,0.018495508,1.9047977924346924,55.76099419593811,-130.7408102151131,60000,49.576465368270874,393.0994029045105,-217.41466467939784,61.60230024762434,0.02041792869567871,3.817418336868286,62.021472884887146
-72.67461608351825,-0.11260229,100,53.792677879333496,6,0.01897959,1.9405319690704346,55.76551389694214,-127.78454156273078,70000,49.57736587524414,448.887433052063,-220.515327882031,50.25589077282646,0.01996612548828125,3.7741003036499023,50.61319887370761
-65.18448085268858,-0.1143572,100,58.371614933013916,7,0.027753662,2.0039541721343994,60.39537572860718,-112.2634142442358,80000,54.14251971244812,509.3061399459839,-194.69335688067812,74.24474520682391,0.019405126571655273,3.7884106636047363,50.26173273805358
-59.212135419615855,-0.22592768,100,54.04431486129761,8,-0.004112036,1.9534568786621094,56.017861127853394,-102.94006359417463,90000,49.818506717681885,565.3467659950256,-172.65886499444716,44.03112994267585,0.019564151763916016,3.773780107498169,43.34925415464251
-54.59242240587156,-0.22338364,100,56.07419991493225,9,-0.0081811035,2.101959705352783,58.196561336517334,-99.72896089423057,100000,51.838725328445435,623.5640330314636,-150.10315043702855,32.54401415748552,0.020014047622680664,3.7944962978363037,44.80555962948204
-52.377283703490406,-0.1388075,100,55.20085382461548,10,0.013105371,1.9915459156036377,57.216135025024414,-91.48435156995725,110000,50.91805124282837,680.8047850131989,-192.556460831644,52.04363744189865,0.020029067993164062,3.835829973220825,41.09510127691845
-54.752863968001094,-0.36493644,100,56.452579975128174,11,-0.0011697509,1.6297829151153564,58.16879487037659,-93.19682271525849,120000,52.12651824951172,738.9935202598572,-202.16948201589304,26.58298084549645,0.08611392974853516,3.8773884773254395,42.32356423289553
-45.41083543369122,-0.531524,100,56.631690979003906,12,0.011154003,1.9584829807281494,58.612602949142456,-77.60430583150864,130000,52.350749015808105,797.6263091564178,-157.23677559001447,55.73690562092552,0.01948690414428711,3.799360990524292,42.23606745722813
-26.09336872721495,-0.09700945,100,56.09899401664734,13,-0.0150688235,1.9962589740753174,58.11736607551575,-47.65198012127164,140000,51.74015760421753,855.7645251750946,-148.79972349777597,86.48347507174117,0.02034902572631836,3.9090960025787354,48.76372178040383
