train-PolicyExecTime,LossBefore,Time-SampleProc,n_timesteps,train-NumTrajs,train-StdReturn,ItrTime,train-EnvExecTime,train-AverageDiscountedReturn,train-AverageReturn,train-MinReturn,Itr,Time-Sampling,Time-Optimization,train-MaxReturn,LossAfter,Time
69.40368342399597,-0.0059749144,0.027129173278808594,10000,100,30.997430418411277,81.81326103210449,4.406476974487305,-70.73982178274008,-40.777081071237646,-155.8216992197036,0,74.38949990272522,7.395159959793091,19.557062499514664,-0.53363055,81.81326794624329
55.91296887397766,0.008735107,0.02770400047302246,20000,100,38.14801383174321,64.11079597473145,4.264151573181152,-44.26903691642668,-24.01052590557496,-122.22908161465855,1,60.65808081626892,3.4245681762695312,76.55824828923791,-0.31448886,146.04326009750366
58.24449825286865,0.0144019285,0.022337913513183594,30000,100,49.6467051251118,65.5869312286377,4.200328588485718,-55.3147656614365,-30.594676532373274,-199.9897425496134,2,62.92071294784546,2.6421561241149902,109.21068550083244,-0.11675737,211.6546540260315
56.294105529785156,0.025396258,0.018887042999267578,40000,100,42.73080520532424,64.0684883594513,4.11792254447937,-76.61190235970072,-43.02474931068927,-148.9956905226561,3,60.88426089286804,3.163285970687866,86.22458325373454,-0.20688955,275.7474880218506
57.703922510147095,0.009744556,0.021488189697265625,50000,100,45.18003997665102,65.47982907295227,4.1228742599487305,-60.449042155392696,-33.4182606691439,-152.49726861351647,4,62.28208112716675,3.1749250888824463,91.47003278237023,-0.13973081,341.2480809688568
48.47917103767395,-0.006628052,0.046282052993774414,60000,100,43.15184423386917,55.72384715080261,3.8802380561828613,-55.379846878847836,-30.464158194129823,-175.05647600642016,5,52.7962749004364,2.880607843399048,78.53085846150343,-0.14845727,397.0065989494324
49.84829139709473,-0.03483064,0.019891023635864258,70000,100,43.265558942110225,56.59652090072632,3.9211647510528564,-62.580986143390106,-34.30126661210634,-152.95559011142493,6,54.20397114753723,2.371040105819702,94.0222854832695,-0.29789835,453.62799191474915
54.07148504257202,0.016229859,0.01741194725036621,80000,100,43.9953191239865,60.67856407165527,3.8615212440490723,-45.63806342965677,-23.972035221883274,-135.9407662956548,7,58.36828589439392,2.2914600372314453,110.09751975489729,-0.33312824,514.3308129310608
50.6066038608551,-0.024134424,0.020203828811645508,90000,100,37.5298025037373,56.90993595123291,3.802393913269043,-66.06542338206077,-36.77553425404719,-141.41481642959823,8,54.84737992286682,2.04190993309021,55.70372194969612,-0.28020492,571.2629878520966
51.812400817871094,-0.035396215,0.02148914337158203,100000,100,32.02619859955903,58.09046912193298,3.8433070182800293,-78.24416925826425,-44.174989092340155,-163.19252839577533,9,56.090632915496826,1.9778072834014893,29.0885296575154,-0.16451217,629.3759970664978
