Time,LossAfter,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,LossBefore,train-EnvExecTime,train-NumTrajs,train-PolicyExecTime,Itr,Time-SampleProc,train-MinReturn,train-MaxReturn,train-StdReturn,train-AverageReturn,ItrTime,n_timesteps
10.339393615722656,-1.621194,-110.82057306564263,0.4475727081298828,9.822484493255615,-0.0124231335,3.4942283630371094,100,6.068463325500488,0,0.06901764869689941,-188.7229591583663,171.7722102695731,100.3733999069542,-40.80133218888261,10.339389324188232,10000
20.111122369766235,-0.18352742,181.1684954014952,0.3326728343963623,9.286327600479126,0.029108072,3.354001760482788,100,5.685810565948486,1,0.1272296905517578,59.66683555441308,211.4801928467677,35.25197879515557,108.81611490487086,9.746615409851074,20000
30.24850559234619,-0.23968509,348.20558310523325,0.3312404155731201,9.708905458450317,-0.008882422,3.6610536575317383,100,5.796814203262329,2,0.07545995712280273,158.935678644188,196.30099094123588,6.182561230360723,189.73209082347267,10.115832090377808,30000
40.650551319122314,-1.4811246,349.92904301602607,0.4310953617095947,9.852733850479126,-0.018545326,3.616706371307373,100,5.96709132194519,3,0.10034894943237305,180.45716266640906,194.78982106352504,2.0710891658933566,190.76253152816375,10.384394645690918,40000
50.948097705841064,-2.1786554,345.67303095982027,0.30417323112487793,9.849470853805542,-0.008633447,3.715653896331787,100,5.873387813568115,4,0.12037038803100586,179.02577249464412,193.898600691466,3.018646056964629,189.3485398356827,10.27424955368042,50000
61.18332552909851,-3.253166,354.06051875754764,0.33394885063171387,9.847319841384888,-0.0083679445,3.633871078491211,100,5.965615510940552,5,0.03498506546020508,186.62087344084875,197.14067156187264,1.5798232039952604,193.06314929192237,10.216469287872314,60000
71.66871500015259,-2.8282557,357.70644507700723,0.3737356662750244,10.050367832183838,-0.0037638885,3.790921449661255,100,5.999282121658325,6,0.04052114486694336,186.9904931823061,197.78143159039385,1.6010426423768118,194.86076253261254,10.465024471282959,70000
82.07959985733032,-2.0560853,357.6488054940517,0.3275938034057617,10.026196241378784,-0.015941657,3.740074396133423,100,6.036837100982666,7,0.035747528076171875,187.55222625508725,198.5601676962808,1.6985128069593034,194.4647229788513,10.389745235443115,80000
92.45478296279907,-0.6464137,352.7157666557856,0.308682918548584,9.978118419647217,-0.0102909915,3.7365121841430664,100,5.970300197601318,8,0.06867790222167969,165.3785701344447,198.41865791075304,6.074589864722692,191.30473745012657,10.35569953918457,90000
102.74679708480835,-0.31842554,342.06672836899304,0.3135979175567627,9.905163288116455,-0.009670661,3.766610622406006,100,5.887638568878174,9,0.05337333679199219,169.75433970137055,196.25134247680475,6.535196466318986,188.7707922354396,10.27236032485962,100000
113.16436791419983,-0.29483664,351.39647961649024,0.3218228816986084,9.980916261672974,0.012994925,3.7179527282714844,100,6.0112035274505615,10,0.09798192977905273,175.3944938037081,197.13323664529963,4.043203026139045,192.35863529547026,10.400927305221558,110000
123.57205820083618,0.012485855,274.7658897086242,0.30881333351135254,10.016595840454102,0.007511458,3.8339085578918457,100,5.929773330688477,11,0.06188321113586426,124.7770882262772,185.14968774417943,13.96753483126868,152.49034825174476,10.387548923492432,120000
133.92108345031738,-0.031143421,228.93864786653256,0.32410264015197754,9.964328050613403,0.040882543,3.920884132385254,100,5.783258676528931,12,0.04241037368774414,106.04577533396335,178.8446587429366,11.857096822136743,129.22735933892167,10.331081628799438,130000
144.29801058769226,-0.2474693,346.8781356899518,0.3353128433227539,9.989720106124878,-0.005927649,3.8170342445373535,100,5.907944917678833,13,0.03502917289733887,165.12172836921658,195.34171944787767,5.032145483783744,188.6948720019295,10.360271453857422,140000
154.79950666427612,0.010255225,317.56990523295315,0.3305931091308594,10.117045402526855,-0.001579776,3.712456464767456,100,6.14146089553833,14,0.03680157661437988,154.5997548089162,193.82016334765132,8.247728591136283,178.98797883862665,10.484670639038086,150000
165.28477478027344,-0.02427246,272.34680602457735,0.32733941078186035,10.085379838943481,0.026342578,3.698096513748169,100,6.124398231506348,15,0.05522012710571289,149.9643840350891,177.42592370214473,5.865623281344212,160.10348162740704,10.468147993087769,160000
